Speaker	Task	Label	TokNum	T	R	AAAmeta
BM	base	s	69	0.2581	66.0207	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	0.2184	65.8651	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	0.1787	65.0304	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	0.139	64.1562	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	0.0993	62.9018	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	0.0596	62.0301	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	0.0199	61.0966	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	-0.0199	60.2348	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	-0.0596	59.2223	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	-0.0993	58.1431	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	-0.139	56.822	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	-0.1787	53.8809	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	-0.2184	50.7101	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	-0.2581	47.5344	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	94	0.6551	68.3988	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	0.6154	68.9025	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	0.5757	69.5051	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	0.536	70.5571	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	0.4963	71.1077	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	0.4566	71.53	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	0.4169	71.3646	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	0.3772	69.0285	Tongue s 5/24/2017 6:51:32 PM 94
BM	base	s	94	0.3375	65.391	Tongue s 5/24/2017 6:51:32 PM 94
